name,pca_weight,rank,pca_weight_male,rank_male,pca_weight_female,rank_female
Color television,0.2484,1,0.2471,1,0.2522,1
Type of cooking fuel: wood,0.2359,2,0.2385,2,0.2252,3
Refrigerator,0.2315,3,0.2279,3,0.2369,2
Electricity,0.2185,4,0.2235,4,0.2009,7
Video deck/DVD/VCD,0.2132,5,0.2144,5,0.2148,5
Type of cooking fuel: LPG,0.2079,6,0.2036,6,0.2149,4
Bank account,0.2027,7,0.2014,7,0.2094,6
Cabinet/cupboard,0.19,8,0.1866,8,0.1955,10
Wall clock,0.1897,9,0.1856,9,0.1989,8
Source of drinking water: sachet water,0.1743,10,0.1719,12,0.1782,11
Watch,0.1742,11,0.1638,14,0.1972,9
Computer/tablet computer,0.1721,12,0.1734,11,0.1662,13
Type of toilet facility: no facility/bush/field,0.17,13,0.1769,10,0.1468,18
Main wall material: cement,0.1608,14,0.1677,13,0.1405,21
Access to internet in any device,0.1591,15,0.1586,16,0.1575,14
Bed,0.1551,16,0.1527,17,0.1571,15
land,0.1544,17,0.1603,15,0.1397,22
Mobile telephone,0.1522,18,0.1436,19,0.1772,12
Source of drinking water: tube well or borehole,0.1466,19,0.1496,18,0.134,23
Type of toilet facility: flush to septic tank,0.1426,20,0.1397,21,0.1487,16
Freezer,0.1387,21,0.1361,22,0.1422,20
Car/truck,0.1371,22,0.1424,20,0.121,25
Main floor material: ceramic/marble/porcelain tiles/terrazo,0.1296,23,0.123,23,0.1448,19
Photo camera,0.1219,24,0.1225,24,0.1166,26
Type of toilet facility: flush to piped sewer system,0.1159,25,0.1117,28,0.1244,24
Table,0.1155,26,0.114,26,0.116,27
Main roof material: thatch/palm leaf,0.1142,27,0.1197,25,0.0926,34
Radio,0.1108,28,0.0995,30,0.1477,17
Main wall material: dirt,0.1099,29,0.1133,27,0.0956,33
Main floor material: earth/sand,0.1014,30,0.1013,29,0.097,32
Main wall material: stone with mud,0.0993,31,0.0987,31,0.0974,31
Source of drinking water: river/dam/lake/ponds/stream/canal/channel,0.0957,32,0.0974,32,0.0877,36
Type of toilet facility: flush to septic tank shared,0.0948,33,0.0929,34,0.1,30
Washing machine,0.092,34,0.0866,37,0.1046,29
Main floor material: woolen carpets/synthetic carpet,0.0908,35,0.0913,35,0.0879,35
Main floor material: cement,0.0859,36,0.0777,38,0.1079,28
Source of drinking water: piped into dwelling,0.0849,37,0.0875,36,0.0749,38
Type of cooking fuel: charcoal,0.0716,38,0.0765,39,0.0606,48
Bicycle,0.0714,39,0.094,33,0.0009,108
Main wall material: bamboo with mud,0.0697,40,0.0685,41,0.0695,40
Type of toilet facility: flush to piped sewer system shared,0.0679,41,0.0641,46,0.0766,37
Telephone (non-mobile),0.0673,42,0.0646,45,0.0724,39
Source of drinking water: piped into yard/plot,0.0663,43,0.0675,43,0.0635,45
Electric generator/inverter,0.0625,44,0.0606,48,0.0691,41
Main roof material: asbestos/slate roofing sheets,0.0608,45,0.0662,44,0.0453,55
Main floor material: dung,0.0586,46,0.0609,47,0.0489,54
Main floor material: linoleum/rubber carpet,0.0572,47,0.0554,51,0.0621,47
Type of toilet facility: pit latrine with slab,0.0571,48,0.053,52,0.0649,44
Sewing machine,0.0563,49,0.0521,53,0.0655,43
Type of toilet facility: ventilated improved pit latrine,0.0559,50,0.0716,40,0.0167,76
