Variable,Comp1,Unexplained
hv201_11,0.0749,.9548
hv201_12,0.0635,.9676
hv201_13,-0.0378,.9885
hv201_21,-0.1340,.8554
hv201_31,-0.0153,.9981
hv201_32,-0.0493,.9804
hv201_41,-0.0038,.9999
hv201_42,-0.0210,.9964
hv201_51,-0.0140,.9984
hv201_61,0.0017,1
hv201_81,-0.0877,.938
hv201_91,0.0508,.9792
hv201_92,0.1782,.7442
hv201_96,-0.0038,.9999
hv205_11,0.1244,.8753
hv205_12,0.1487,.8218
hv205_13,0.0286,.9934
hv205_14,0.0275,.9939
hv205_15,0.0123,.9988
hv205_21,0.0167,.9978
hv205_22,-0.0649,.9661
hv205_23,-0.0521,.9781
hv205_41,0.0013,1
hv205_51,-0.0079,.9995
hv205_61,-0.1468,.8264
hv205_11_sh,0.0766,.9528
hv205_12_sh,0.1000,.9194
hv205_13_sh,0.0230,.9957
hv205_14_sh,0.0212,.9964
hv205_15_sh,0.0095,.9993
hv205_21_sh,0.0100,.9992
hv205_22_sh,-0.0629,.9681
hv205_23_sh,-0.0500,.9798
hv205_41_sh,0.0008,1
hv205_51_sh,-0.0062,.9997
hv206,0.2009,.6749
sh110b,0.1989,.6811
hv207,0.1477,.8243
sh110d,-0.0015,1
hv208,0.2522,.4875
hv243a,0.1772,.7471
hv221,0.0724,.9578
hv209,0.2369,.5479
sh110i,0.1422,.8371
sh110j,0.0691,.9615
sh110k,0.1046,.9118
sh110l,0.1662,.7775
sh110m,0.1166,.8905
sh110n,0.2148,.6283
sh110o,0.0655,.9654
sh110p,0.1571,.801
sh110q,0.1160,.8916
sh110r,0.1955,.6919
sh110s,0.1575,.8001
hv226_1,0.0215,.9963
hv226_2,0.2149,.6277
hv226_3,0.0102,.9992
hv226_5,0.0111,.999
hv226_6,0.0019,1
hv226_7,0.0606,.9704
hv226_8,-0.2252,.5915
hv226_9,-0.0331,.9912
hv226_10,-0.0240,.9954
hv226_95,-0.0032,.9999
hv213_11,-0.0970,.9242
hv213_12,-0.0489,.9807
hv213_21,-0.0037,.9999
hv213_31,-0.0027,.9999
hv213_33,0.1448,.831
hv213_34,-0.1079,.9063
hv213_35,0.0879,.9378
hv213_36,0.0621,.9689
hv215_11,-0.0071,.9996
hv215_12,-0.0926,.9309
hv215_21,-0.0275,.9939
hv215_22,-0.0302,.9926
hv215_23,0.0094,.9993
hv215_31,-0.0093,.9993
hv215_32,0.0058,.9997
hv215_33,0.0053,.9998
hv215_34,-0.0249,.995
hv215_35,0.0449,.9838
hv215_36,-0.0044,.9998
hv215_37,0.0453,.9834
hv214_11,-0.0079,.9995
hv214_12,-0.0302,.9927
hv214_13,-0.0956,.9263
hv214_21,-0.0695,.9611
hv214_22,-0.0974,.9236
hv214_23,-0.0314,.992
hv214_24,-0.0040,.9999
hv214_26,-0.0042,.9999
hv214_31,0.1405,.841
hv214_32,-0.0176,.9975
hv214_33,-0.0519,.9783
hv214_34,0.0324,.9915
hv214_35,-0.0223,.996
hv214_36,-0.0020,1
hv214_96,-0.0207,.9965
hv243b,0.1972,.6867
hv210,0.0009,1
hv211,0.0341,.9906
hv243c,-0.0106,.9991
hv212,0.1210,.882
hv243d,-0.0059,.9997
hv247,0.2094,.6467
house,0.0039,.9999
land,-0.1397,.8428
memsleep,-0.0680,.9628
