Variable,Comp1,Unexplained
hv201_11,0.0875,.9308
hv201_12,0.0675,.9589
hv201_13,0.0091,.9993
hv201_21,-0.1496,.7978
hv201_31,-0.0051,.9998
hv201_32,-0.0488,.9785
hv201_41,0.0037,.9999
hv201_42,-0.0202,.9963
hv201_51,-0.0027,.9999
hv201_61,0.0113,.9988
hv201_81,-0.0974,.9143
hv201_91,0.0412,.9846
hv201_92,0.1719,.7332
hv201_96,-0.0015,1
hv205_11,0.1117,.8873
hv205_12,0.1397,.8238
hv205_13,0.0447,.9819
hv205_14,0.0198,.9965
hv205_15,0.0149,.998
hv205_21,0.0716,.9537
hv205_22,-0.0530,.9747
hv205_23,-0.0452,.9816
hv205_41,0.0131,.9984
hv205_51,-0.0064,.9996
hv205_61,-0.1769,.7174
hv205_11_sh,0.0641,.9628
hv205_12_sh,0.0929,.922
hv205_13_sh,0.0393,.986
hv205_14_sh,0.0149,.998
hv205_15_sh,0.0138,.9983
hv205_21_sh,0.0679,.9584
hv205_22_sh,-0.0441,.9825
hv205_23_sh,-0.0304,.9916
hv205_41_sh,0.0131,.9984
hv205_51_sh,-0.0045,.9998
hv206,0.2235,.5487
sh110b,0.1856,.6887
hv207,0.0995,.9105
sh110d,-0.0008,1
hv208,0.2471,.4483
hv243a,0.1436,.8137
hv221,0.0646,.9623
hv209,0.2279,.5309
sh110i,0.1361,.8328
sh110j,0.0606,.9668
sh110k,0.0866,.9322
sh110l,0.1734,.7283
sh110m,0.1225,.8645
sh110n,0.2144,.5849
sh110o,0.0521,.9755
sh110p,0.1527,.7893
sh110q,0.1140,.8827
sh110r,0.1866,.6856
sh110s,0.1586,.7728
hv226_1,0.0441,.9825
hv226_2,0.2036,.6253
hv226_3,0.0036,.9999
hv226_5,0.0077,.9995
hv226_6,0.0019,1
hv226_7,0.0765,.9471
hv226_8,-0.2385,.486
hv226_9,-0.0328,.9903
hv226_10,-0.0177,.9972
hv226_95,0.0153,.9979
hv213_11,-0.1013,.9072
hv213_12,-0.0609,.9664
hv213_21,0.0067,.9996
hv213_31,0.0012,1
hv213_33,0.1230,.8632
hv213_34,-0.0777,.9455
hv213_35,0.0913,.9247
hv213_36,0.0554,.9723
hv213_96,-0.0012,1
hv215_11,-0.0027,.9999
hv215_12,-0.1197,.8705
hv215_21,-0.0175,.9972
hv215_22,-0.0339,.9896
hv215_23,0.0006,1
hv215_31,0.0016,1
hv215_32,0.0042,.9998
hv215_33,0.0188,.9968
hv215_34,-0.0250,.9943
hv215_35,0.0448,.9818
hv215_36,-0.0085,.9994
hv215_37,0.0662,.9604
hv215_96,0.0055,.9997
hv214_11,0.0003,1
hv214_12,-0.0143,.9981
hv214_13,-0.1133,.884
hv214_21,-0.0685,.9576
hv214_22,-0.0987,.9121
hv214_23,-0.0558,.9718
hv214_24,0.0142,.9982
hv214_26,0.0000,1
hv214_31,0.1677,.7458
hv214_32,-0.0115,.9988
hv214_33,-0.0476,.9796
hv214_34,0.0602,.9672
hv214_35,-0.0396,.9859
hv214_36,0.0017,1
hv214_96,-0.0317,.9909
hv243b,0.1638,.7577
hv210,-0.0940,.9201
hv211,0.0032,.9999
hv243c,-0.0255,.9941
hv212,0.1424,.8169
hv243d,0.0031,.9999
hv247,0.2014,.6336
house,-0.0381,.9869
land,-0.1603,.7677
memsleep,-0.0430,.9833
