name,pca_weight,rank,pca_weight_male,rank_male,pca_weight_female,rank_female,diff_fvm
Mobile telephone,0.1522,18,0.1436,19,0.1772,12,0.03359999999999999
Watch,0.1742,11,0.1638,14,0.1972,9,0.033399999999999985
Wall clock,0.1897,9,0.1856,9,0.1989,8,0.013300000000000006
Type of cooking fuel: LPG,0.2079,6,0.2036,6,0.2149,4,0.011300000000000004
Refrigerator,0.2315,3,0.2279,3,0.2369,2,0.009000000000000008
Cabinet/cupboard,0.19,8,0.1866,8,0.1955,10,0.008900000000000019
Bank account,0.2027,7,0.2014,7,0.2094,6,0.008000000000000007
Source of drinking water: sachet water,0.1743,10,0.1719,12,0.1782,11,0.0063
Color television,0.2484,1,0.2471,1,0.2522,1,0.005099999999999993
Bed,0.1551,16,0.1527,17,0.1571,15,0.004399999999999987
Video deck/DVD/VCD,0.2132,5,0.2144,5,0.2148,5,0.0003999999999999837
Access to internet in any device,0.1591,15,0.1586,16,0.1575,14,-0.0010999999999999899
Computer/tablet computer,0.1721,12,0.1734,11,0.1662,13,-0.007200000000000012
Type of cooking fuel: wood,0.2359,2,0.2385,2,0.2252,3,-0.013299999999999979
Electricity,0.2185,4,0.2235,4,0.2009,7,-0.02260000000000001
Type of toilet facility: no facility/bush/field,0.17,13,0.1769,10,0.1468,18,-0.030099999999999988
